TYPE; FULLCODE; STATE; COUNTY; TRACT; SHEETS,COUNTY_NAME,,,,
TRACT;06001400100;06;001;4001.00;1,ALAMEDA,,,,
TRACT;06001400200;06;001;4002.00;1,ALAMEDA,,,,
TRACT;06001400300;06;001;4003.00;1,ALAMEDA,,,,
TRACT;06001400400;06;001;4004.00;1,ALAMEDA,,,,
TRACT;06001400500;06;001;4005.00;1,ALAMEDA,,,,
TRACT;06001400600;06;001;4006.00;1,ALAMEDA,,,,
TRACT;06001400700;06;001;4007.00;1,ALAMEDA,,,,
TRACT;06001400800;06;001;4008.00;1,ALAMEDA,,,,
TRACT;06001400900;06;001;4009.00;1,ALAMEDA,,,,
TRACT;06001401000;06;001;4010.00;1,ALAMEDA,,,,
TRACT;06001401100;06;001;4011.00;1,ALAMEDA,,,,
TRACT;06001401200;06;001;4012.00;1,ALAMEDA,,,,
TRACT;06001401300;06;001;4013.00;1,ALAMEDA,,,,
TRACT;06001401400;06;001;4014.00;1,ALAMEDA,,,,
TRACT;06001401500;06;001;4015.00;1,ALAMEDA,,,,
TRACT;06001401600;06;001;4016.00;1,ALAMEDA,,,,
TRACT;06001401700;06;001;4017.00;1,ALAMEDA,,,,
TRACT;06001401800;06;001;4018.00;1,ALAMEDA,,,,
TRACT;06001402200;06;001;4022.00;1,ALAMEDA,,,,
TRACT;06001402400;06;001;4024.00;1,ALAMEDA,,,,
TRACT;06001402500;06;001;4025.00;1,ALAMEDA,,,,
TRACT;06001402600;06;001;4026.00;1,ALAMEDA,,,,
TRACT;06001402700;06;001;4027.00;1,ALAMEDA,,,,
TRACT;06001402801;06;001;4028.01;1,ALAMEDA,,,,
TRACT;06001402802;06;001;4028.02;1,ALAMEDA,,,,
TRACT;06001402900;06;001;4029.00;1,ALAMEDA,,,,
TRACT;06001403000;06;001;4030.00;1,ALAMEDA,,,,
TRACT;06001403100;06;001;4031.00;1,ALAMEDA,,,,
TRACT;06001403301;06;001;4033.01;1,ALAMEDA,,,,
TRACT;06001403302;06;001;4033.02;1,ALAMEDA,,,,
TRACT;06001403401;06;001;4034.01;1,ALAMEDA,,,,
TRACT;06001403402;06;001;4034.02;1,ALAMEDA,,,,
TRACT;06001403501;06;001;4035.01;1,ALAMEDA,,,,
TRACT;06001403502;06;001;4035.02;1,ALAMEDA,,,,
TRACT;06001403600;06;001;4036.00;1,ALAMEDA,,,,
TRACT;06001403701;06;001;4037.01;1,ALAMEDA,,,,
