COUNTY,YEAR,STRATA,STRATA NAME,AGE GROUP,NUMBER OF HOSPITALIZATIONS,AGE-ADJUSTED HOSPITALIZATION RATE,COMMENT
California,2015,Total population,All ages,All ages,"27,262",7,
Alameda,2015,Total population,All ages,All ages,"1,435",9.3,
Alpine,2015,Total population,All ages,All ages,0,0,
Amador,2015,Total population,All ages,All ages,28,7.5,
Butte,2015,Total population,All ages,All ages,143,6.7,
Calaveras,2015,Total population,All ages,All ages,32,6.5,
Colusa,2015,Total population,All ages,All ages,7,,Rate not available due to statistical instability
Contra Costa,2015,Total population,All ages,All ages,910,8.3,
Del Norte,2015,Total population,All ages,All ages,7,,Rate not available due to statistical instability
El Dorado,2015,Total population,All ages,All ages,66,4,
Fresno,2015,Total population,All ages,All ages,"1,100",10.8,
Glenn,2015,Total population,All ages,All ages,13,4.5,
Humboldt,2015,Total population,All ages,All ages,73,5.2,
Imperial,2015,Total population,All ages,All ages,173,8.7,
Inyo,2015,Total population,All ages,All ages,6,,Rate not available due to statistical instability
Kern,2015,Total population,All ages,All ages,657,7.2,
Kings,2015,Total population,All ages,All ages,142,10.1,
Lake,2015,Total population,All ages,All ages,59,9.1,
Lassen,2015,Total population,All ages,All ages,32,9.4,
Los Angeles,2015,Total population,All ages,All ages,"8,544",8.5,
Madera,2015,Total population,All ages,All ages,107,6.4,
Marin,2015,Total population,All ages,All ages,78,3,
Mariposa,2015,Total population,All ages,All ages,7,,Rate not available due to statistical instability
Mendocino,2015,Total population,All ages,All ages,28,3.2,
Merced,2015,Total population,All ages,All ages,215,8.3,
Modoc,2015,Total population,All ages,All ages,12,15.1,
Mono,2015,Total population,All ages,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Monterey,2015,Total population,All ages,All ages,270,6.3,
Napa,2015,Total population,All ages,All ages,54,3.3,
Nevada,2015,Total population,All ages,All ages,56,6,
Orange,2015,Total population,All ages,All ages,"1,713",5.5,
Placer,2015,Total population,All ages,All ages,147,3.8,
Plumas,2015,Total population,All ages,All ages,10,,Rate not available due to statistical instability
Riverside,2015,Total population,All ages,All ages,"1,311",5.6,
Sacramento,2015,Total population,All ages,All ages,"1,138",7.7,
San Benito,2015,Total population,All ages,All ages,27,4.7,
San Bernardino,2015,Total population,All ages,All ages,"1,717",8.1,
San Diego,2015,Total population,All ages,All ages,"1,927",6,
San Francisco,2015,Total population,All ages,All ages,595,7.8,
San Joaquin,2015,Total population,All ages,All ages,457,6.2,
San Luis Obispo,2015,Total population,All ages,All ages,111,4.6,
San Mateo,2015,Total population,All ages,All ages,370,4.7,
Santa Barbara,2015,Total population,All ages,All ages,175,4.2,
Santa Clara,2015,Total population,All ages,All ages,"1,089",5.8,
Santa Cruz,2015,Total population,All ages,All ages,104,4,
Shasta,2015,Total population,All ages,All ages,106,5.9,
Sierra,2015,Total population,All ages,All ages,0,0,
Siskiyou,2015,Total population,All ages,All ages,17,3.8,
Solano,2015,Total population,All ages,All ages,239,5.4,
Sonoma,2015,Total population,All ages,All ages,256,5,
Stanislaus,2015,Total population,All ages,All ages,410,7.6,
Sutter,2015,Total population,All ages,All ages,48,4.8,
Tehama,2015,Total population,All ages,All ages,41,6.3,
Trinity,2015,Total population,All ages,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Tulare,2015,Total population,All ages,All ages,338,7,
Tuolumne,2015,Total population,All ages,All ages,40,7.3,
Ventura,2015,Total population,All ages,All ages,366,4.1,
Yolo,2015,Total population,All ages,All ages,99,5.4,
Yuba,2015,Total population,All ages,All ages,48,6.4,
California,2015,Child vs. adult,0–17 years,0–17 years,"9,385",10.1,
Alameda,2015,Child vs. adult,0–17 years,0–17 years,611,17,
Alpine,2015,Child vs. adult,0–17 years,0–17 years,0,0,
Amador,2015,Child vs. adult,0–17 years,0–17 years,,,Count and rate suppressed in accordance with data de-identification guidelines
Butte,2015,Child vs. adult,0–17 years,0–17 years,54,12.3,
Calaveras,2015,Child vs. adult,0–17 years,0–17 years,,,Count and rate suppressed in accordance with data de-identification guidelines
Colusa,2015,Child vs. adult,0–17 years,0–17 years,,,Count and rate suppressed in accordance with data de-identification guidelines
Contra Costa,2015,Child vs. adult,0–17 years,0–17 years,306,12.7,
Del Norte,2015,Child vs. adult,0–17 years,0–17 years,,,Count and rate suppressed in accordance with data de-identification guidelines
El Dorado,2015,Child vs. adult,0–17 years,0–17 years,17,5,
Fresno,2015,Child vs. adult,0–17 years,0–17 years,531,18.3,
Glenn,2015,Child vs. adult,0–17 years,0–17 years,,,Count and rate suppressed in accordance with data de-identification guidelines
Humboldt,2015,Child vs. adult,0–17 years,0–17 years,12,4.6,
Imperial,2015,Child vs. adult,0–17 years,0–17 years,115,21.3,
Inyo,2015,Child vs. adult,0–17 years,0–17 years,,,Count and rate suppressed in accordance with data de-identification guidelines
Kern,2015,Child vs. adult,0–17 years,0–17 years,217,8,
Kings,2015,Child vs. adult,0–17 years,0–17 years,52,11.6,
Lake,2015,Child vs. adult,0–17 years,0–17 years,13,10.2,
Lassen,2015,Child vs. adult,0–17 years,0–17 years,,,Count and rate suppressed in accordance with data de-identification guidelines
Los Angeles,2015,Child vs. adult,0–17 years,0–17 years,"2,639",11.1,
Madera,2015,Child vs. adult,0–17 years,0–17 years,48,10.8,
Marin,2015,Child vs. adult,0–17 years,0–17 years,24,5,
Mariposa,2015,Child vs. adult,0–17 years,0–17 years,,,Count and rate suppressed in accordance with data de-identification guidelines
Mendocino,2015,Child vs. adult,0–17 years,0–17 years,,,Count and rate suppressed in accordance with data de-identification guidelines
Merced,2015,Child vs. adult,0–17 years,0–17 years,73,9.2,
Modoc,2015,Child vs. adult,0–17 years,0–17 years,,,Count and rate suppressed in accordance with data de-identification guidelines
Mono,2015,Child vs. adult,0–17 years,0–17 years,,,Count and rate suppressed in accordance with data de-identification guidelines
Monterey,2015,Child vs. adult,0–17 years,0–17 years,113,9.6,
Napa,2015,Child vs. adult,0–17 years,0–17 years,,,Count and rate suppressed in accordance with data de-identification guidelines
Nevada,2015,Child vs. adult,0–17 years,0–17 years,,,Count and rate suppressed in accordance with data de-identification guidelines
Orange,2015,Child vs. adult,0–17 years,0–17 years,562,7.8,
Placer,2015,Child vs. adult,0–17 years,0–17 years,42,5.4,
Plumas,2015,Child vs. adult,0–17 years,0–17 years,,,Count and rate suppressed in accordance with data de-identification guidelines
Riverside,2015,Child vs. adult,0–17 years,0–17 years,437,7.3,
Sacramento,2015,Child vs. adult,0–17 years,0–17 years,469,12.8,
San Benito,2015,Child vs. adult,0–17 years,0–17 years,11,,Rate not available due to statistical instability
San Bernardino,2015,Child vs. adult,0–17 years,0–17 years,569,9.9,
San Diego,2015,Child vs. adult,0–17 years,0–17 years,788,10.4,
San Francisco,2015,Child vs. adult,0–17 years,0–17 years,191,13.6,
San Joaquin,2015,Child vs. adult,0–17 years,0–17 years,185,9.4,
San Luis Obispo,2015,Child vs. adult,0–17 years,0–17 years,40,8.2,
San Mateo,2015,Child vs. adult,0–17 years,0–17 years,91,5.4,
Santa Barbara,2015,Child vs. adult,0–17 years,0–17 years,74,7.4,
Santa Clara,2015,Child vs. adult,0–17 years,0–17 years,299,6.6,
Santa Cruz,2015,Child vs. adult,0–17 years,0–17 years,30,5.2,
Shasta,2015,Child vs. adult,0–17 years,0–17 years,41,10.7,
Sierra,2015,Child vs. adult,0–17 years,0–17 years,0,0,
Siskiyou,2015,Child vs. adult,0–17 years,0–17 years,,,Count and rate suppressed in accordance with data de-identification guidelines
Solano,2015,Child vs. adult,0–17 years,0–17 years,74,7.8,
Sonoma,2015,Child vs. adult,0–17 years,0–17 years,90,8.7,
Stanislaus,2015,Child vs. adult,0–17 years,0–17 years,137,9.5,
Sutter,2015,Child vs. adult,0–17 years,0–17 years,15,5.8,
Tehama,2015,Child vs. adult,0–17 years,0–17 years,17,11.6,
Trinity,2015,Child vs. adult,0–17 years,0–17 years,0,0,
Tulare,2015,Child vs. adult,0–17 years,0–17 years,145,9.7,
Tuolumne,2015,Child vs. adult,0–17 years,0–17 years,,,Count and rate suppressed in accordance with data de-identification guidelines
Ventura,2015,Child vs. adult,0–17 years,0–17 years,110,5.4,
Yolo,2015,Child vs. adult,0–17 years,0–17 years,38,8.7,
Yuba,2015,Child vs. adult,0–17 years,0–17 years,21,9.9,
California,2015,Child vs. adult,18+ years,18+ years,"17,877",5.9,
Alameda,2015,Child vs. adult,18+ years,18+ years,824,6.7,
Alpine,2015,Child vs. adult,18+ years,18+ years,0,0,
Amador,2015,Child vs. adult,18+ years,18+ years,20,4.8,
Butte,2015,Child vs. adult,18+ years,18+ years,89,4.7,
Calaveras,2015,Child vs. adult,18+ years,18+ years,26,5.6,
Colusa,2015,Child vs. adult,18+ years,18+ years,,,Count and rate suppressed in accordance with data de-identification guidelines
Contra Costa,2015,Child vs. adult,18+ years,18+ years,604,6.7,
Del Norte,2015,Child vs. adult,18+ years,18+ years,,,Count and rate suppressed in accordance with data de-identification guidelines
El Dorado,2015,Child vs. adult,18+ years,18+ years,49,3.6,
Fresno,2015,Child vs. adult,18+ years,18+ years,569,8.2,
Glenn,2015,Child vs. adult,18+ years,18+ years,,,Count and rate suppressed in accordance with data de-identification guidelines
Humboldt,2015,Child vs. adult,18+ years,18+ years,61,5.4,
Imperial,2015,Child vs. adult,18+ years,18+ years,58,4.3,
Inyo,2015,Child vs. adult,18+ years,18+ years,,,Count and rate suppressed in accordance with data de-identification guidelines
Kern,2015,Child vs. adult,18+ years,18+ years,440,7,
Kings,2015,Child vs. adult,18+ years,18+ years,90,9.5,
Lake,2015,Child vs. adult,18+ years,18+ years,46,8.7,
Lassen,2015,Child vs. adult,18+ years,18+ years,26,8.9,
Los Angeles,2015,Child vs. adult,18+ years,18+ years,"5,905",7.6,
Madera,2015,Child vs. adult,18+ years,18+ years,59,4.9,
Marin,2015,Child vs. adult,18+ years,18+ years,54,2.3,
Mariposa,2015,Child vs. adult,18+ years,18+ years,,,Count and rate suppressed in accordance with data de-identification guidelines
Mendocino,2015,Child vs. adult,18+ years,18+ years,20,2.9,
Merced,2015,Child vs. adult,18+ years,18+ years,142,8,
Modoc,2015,Child vs. adult,18+ years,18+ years,,,Count and rate suppressed in accordance with data de-identification guidelines
Mono,2015,Child vs. adult,18+ years,18+ years,0,0,
Monterey,2015,Child vs. adult,18+ years,18+ years,157,5.2,
Napa,2015,Child vs. adult,18+ years,18+ years,44,3.3,
Nevada,2015,Child vs. adult,18+ years,18+ years,46,5.9,
Orange,2015,Child vs. adult,18+ years,18+ years,"1,151",4.7,
Placer,2015,Child vs. adult,18+ years,18+ years,105,3.3,
Plumas,2015,Child vs. adult,18+ years,18+ years,,,Count and rate suppressed in accordance with data de-identification guidelines
Riverside,2015,Child vs. adult,18+ years,18+ years,874,4.9,
Sacramento,2015,Child vs. adult,18+ years,18+ years,669,5.9,
San Benito,2015,Child vs. adult,18+ years,18+ years,16,3.8,
San Bernardino,2015,Child vs. adult,18+ years,18+ years,"1,148",7.5,
San Diego,2015,Child vs. adult,18+ years,18+ years,"1,139",4.5,
San Francisco,2015,Child vs. adult,18+ years,18+ years,404,5.7,
San Joaquin,2015,Child vs. adult,18+ years,18+ years,272,5.1,
San Luis Obispo,2015,Child vs. adult,18+ years,18+ years,71,3.3,
San Mateo,2015,Child vs. adult,18+ years,18+ years,279,4.4,
Santa Barbara,2015,Child vs. adult,18+ years,18+ years,101,3,
Santa Clara,2015,Child vs. adult,18+ years,18+ years,790,5.6,
Santa Cruz,2015,Child vs. adult,18+ years,18+ years,74,3.6,
Shasta,2015,Child vs. adult,18+ years,18+ years,65,4.2,
Sierra,2015,Child vs. adult,18+ years,18+ years,0,0,
Siskiyou,2015,Child vs. adult,18+ years,18+ years,13,3.6,
Solano,2015,Child vs. adult,18+ years,18+ years,165,4.6,
Sonoma,2015,Child vs. adult,18+ years,18+ years,166,3.7,
Stanislaus,2015,Child vs. adult,18+ years,18+ years,273,6.9,
Sutter,2015,Child vs. adult,18+ years,18+ years,33,4.4,
Tehama,2015,Child vs. adult,18+ years,18+ years,24,4.4,
Trinity,2015,Child vs. adult,18+ years,18+ years,,,Count and rate suppressed in accordance with data de-identification guidelines
Tulare,2015,Child vs. adult,18+ years,18+ years,193,6.1,
Tuolumne,2015,Child vs. adult,18+ years,18+ years,31,6.3,
Ventura,2015,Child vs. adult,18+ years,18+ years,256,3.7,
Yolo,2015,Child vs. adult,18+ years,18+ years,61,4.3,
Yuba,2015,Child vs. adult,18+ years,18+ years,27,5.1,
California,2015,Age groups,0–4 years,0–4 years,"4,748",18.3,
Alameda,2015,Age groups,0–4 years,0–4 years,336,33.4,
Alpine,2015,Age groups,0–4 years,0–4 years,0,0,
Amador,2015,Age groups,0–4 years,0–4 years,,,Count and rate suppressed in accordance with data de-identification guidelines
Butte,2015,Age groups,0–4 years,0–4 years,27,24,
Calaveras,2015,Age groups,0–4 years,0–4 years,,,Count and rate suppressed in accordance with data de-identification guidelines
Colusa,2015,Age groups,0–4 years,0–4 years,,,Count and rate suppressed in accordance with data de-identification guidelines
Contra Costa,2015,Age groups,0–4 years,0–4 years,161,25.5,
Del Norte,2015,Age groups,0–4 years,0–4 years,,,Count and rate suppressed in accordance with data de-identification guidelines
El Dorado,2015,Age groups,0–4 years,0–4 years,,,Count and rate suppressed in accordance with data de-identification guidelines
